一	 一:single
孝	 耂:TopLeftOutside    子:BottomRightInside
季	 禾:Top    子:Bottom
孤	 子:Left    瓜:Right
学	 𭕄:ParallelTop    冖:ParallelCenter    子:ParallelBottom
孫	 子:Left    系:Right
宅	 宀:Top    乇:Bottom
宇	 宀:Top    于:Bottom
守	 宀:Top    寸:Bottom
安	 宀:Top    女:Bottom
完	 宀:Top    元:Bottom
宗	 宀:Top    示:Bottom
官	 宀:Top    㠯:Bottom
宙	 宀:Top    由:Bottom
定	 宀:Top    𤴓:Bottom
宛	 宀:Top    夗:Bottom
宜	 宀:Top    且:Bottom
宝	 宀:Top    玉:Bottom
実	 宀:Top    𡗗:Bottom
客	 宀:Top    各:Bottom
宣	 宀:Top    亘:Bottom
室	 宀:Top    至:Bottom
宮	 宀:Top    呂:Bottom
宰	 宀:Top    辛:Bottom
害	 宀:ParallelTop    龶:ParallelCenter    口:ParallelBottom
宴	 宀:Top    妟:Bottom
宵	 宀:Top    肖:Bottom
家	 宀:Top    豕:Bottom
容	 宀:Top    谷:Bottom
宿	 宀:Top    佰:Bottom
寂	 宀:Top    叔:Bottom
寄	 宀:Top    奇:Bottom
密	 宓:Top    山:Bottom
富	 宀:Top    畐:Bottom
寒	 𡨄:Top    ⺀:Bottom
寛	 宀:Top    莧:Bottom
寝	 宀:Top    丬:Left    𠬶:Right
察	 宀:Top    祭:Bottom
寡	 ⿳宀⿱丆且分
寧	 𫲽:ParallelTop    罒:ParallelCenter    丁:ParallelBottom
審	 宀:Top    番:Bottom
寮	 宀:Top    尞:Bottom
寸	 寸:single
寺	 土:Top    寸:Bottom
対	 文:Left    寸:Right
寿	 丰:TopLeftOutside    寸:BottomRightInside
封	 圭:Left    寸:Right
専	 𤰔:Top    寸:Bottom
射	 身:Left    寸:Right
将	 丬:Left    寽:Right
尉	 𫵖:Left    寸:Right
尊	 酋:Top    寸:Bottom
尋	 ⿳彐⿰工口寸
導	 道:Top    寸:Bottom
小	 小:single
少	 小:Top    丿:Bottom
尚	 ⺌:Top    冋:Bottom
就	 京:Left    尤:Right
尺	 尺:single
尻	 尸:TopLeftOutside    九:BottomRightInside
尼	 尸:TopLeftOutside    匕:BottomRightInside
尽	 尺:Top    ⺀:Bottom
尾	 尸:TopLeftOutside    毛:BottomRightInside
尿	 尸:TopLeftOutside    水:BottomRightInside
局	 ⿸尸⿹𠃌口
居	 尸:TopLeftOutside    古:BottomRightInside
屈	 尸:TopLeftOutside    出:BottomRightInside
届	 尸:TopLeftOutside    由:BottomRightInside
屋	 尸:TopLeftOutside    至:BottomRightInside
展	 ⿸尸⿱龷⿰𠄌⿺乀丿
属	 尸:TopLeftOutside    禹:BottomRightInside
層	 尸:TopLeftOutside    曽:BottomRightInside
履	 尸:TopLeftOutside    復:BottomRightInside
屯	 丿:Center    𡳾:Center
山	 山:single
岐	 山:Left    支:Right
岡	 ⿵冂⿱䒑山
岩	 山:Top    石:Bottom
岬	 山:Left    甲:Right
岳	 丘:Top    山:Bottom
岸	 山:Top    厈:Bottom
峠	 山:Left    𠧗:Right
峡	 山:Left    夹:Right
峰	 山:Left    夆:Right
島	 島:single
崇	 山:Top    宗:Bottom
崎	 山:Left    奇:Right
崖	 山:Top    厓:Bottom
崩	 山:Top    朋:Bottom
嵐	 山:Top    風:Bottom
川	 川:single
州	 州:single
巡	 辶:BottomLeftOutside    巛:TopRightInside
巣	 𭕄:Top    果:Bottom
工	 工:single
左	 𠂇:TopLeftOutside    工:BottomRightInside
巧	 工:Left    丂:Right
巨	 巨:single
差	 𦍌:TopLeftOutside    丿Top:    工:Bottom
己	 己:single
巻	 龹:Top    己:Bottom
巾	 巾:single
市	 亠:Top    巾:Bottom
布	 𠂇:TopLeftOutside    巾:BottomRightInside
帆	 巾:Left    凡:Right
希	 㐅:Top    布:Bottom
帝	 ⿱⿱⿱亠丷冖巾
帥	 𠂤:Left    巾:Right
師	 𠂤:Left    帀:Right
席	 广:TopLeftOutside    廿Top:    巾:Bottom
帯	 丗:ParallelTop    冖:ParallelCenter    巾:ParallelBottom
帰	 丨:VerticalLeft    丿:VerticalCenter    帚:VerticalRight
帳	 巾:Left    長:Right
常	 𫩠:Top    巾:Bottom
帽	 巾:Left    冒:Right
幅	 巾:Left    畐:Right
幕	 莫:Top    巾:Bottom
幣	 敝:Top    巾:Bottom
干	 干:single
平	 干:Center    丷:Center
年	 年:single
幸	 土:Top    𢆉:Bottom
幹	 𠦝:Left    𫢉:Right
幻	 幺:Left    𠃌:Right
幼	 幺:Left    力:Right
幽	 山:Center    𢆶:Center
幾	 ⿹⿻戈𢆶人
庁	 广:TopLeftOutside    丁:BottomRightInside
広	 广:TopLeftOutside    厶:BottomRightInside
床	 广:TopLeftOutside    木:BottomRightInside
序	 广:TopLeftOutside    予:BottomRightInside
底	 广:TopLeftOutside    氐:BottomRightInside
店	 广:TopLeftOutside    占:BottomRightInside
府	 广:TopLeftOutside    付:BottomRightInside
度	 广:TopLeftOutside    廿Top:    又:Bottom
座	 广:TopLeftOutside    坐:BottomRightInside
庫	 广:TopLeftOutside    車:BottomRightInside
庭	 广:TopLeftOutside    廷:BottomRightInside
庶	 广:TopLeftOutside    廿Top:    灬:Bottom
康	 广:TopLeftOutside    隶:BottomRightInside
庸	 广:TopLeftOutside    𬎾:BottomRightInside
廃	 广:TopLeftOutside    発:BottomRightInside
廉	 广:TopLeftOutside    兼:BottomRightInside
廊	 广:TopLeftOutside    郎:BottomRightInside
延	 廴:BottomLeftOutside    丿Top:    止:Bottom
廷	 廴:BottomLeftOutside    壬:TopRightInside
建	 廴:BottomLeftOutside    聿:TopRightInside
弁	 厶:Top    廾:Bottom
弄	 王:Top    廾:Bottom
弊	 敝:Top    廾:Bottom
式	 弋:TopRightOutside    工:BottomLeftInside
弐	 弍:Center    一:Center
弓	 弓:single
弔	 弓:Center    丨:Center
引	 弓:Left    丨:Right
弟	 丷:Top    𢎨:Bottom
弥	 弓:Left    尓:Right
弦	 弓:Left    玄:Right
弧	 弓:Left    瓜:Right
弱	 ⿰⿹弓冫⿹弓冫
張	 弓:Left    長:Right
強	 弓:Left    𧈧:Right
弾	 弓:Left    単:Right
当	 ⺌:Top    彐:Bottom
彙	 彑:ParallelTop    冖:ParallelCenter    果:ParallelBottom
形	 开:Left    彡:Right
彩	 采:Left    彡:Right
彫	 周:Left    彡:Right
彰	 章:Left    彡:Right
影	 景:Left    彡:Right
役	 彳:Left    殳:Right
彼	 彳:Left    皮:Right
往	 彳:Left    主:Right
征	 彳:Left    正:Right
径	 彳:Left    圣:Right
待	 彳:Left    寺:Right
律	 彳:Left    聿:Right
後	 彳:Left    幺:Top    夂:Bottom
徐	 彳:Left    余:Right
徒	 彳:Left    走:Right
従	 彳:Left    丷:Top    𤴓:Bottom
得	 彳:Left    㝵:Right
御	 彳:Left    卸:Right
復	 彳:Left    复:Right
循	 彳:Left    盾:Right
微	 彳:Left    𣁋:Right
徳	 ⿰彳⿳十罒心
徴	 彳:VerticalLeft    㞷:VerticalCenter    攵:VerticalRight
徹	 彳:VerticalLeft    育:VerticalCenter    攵:VerticalRight
心	 心:single
必	 心:Center    丿:Center
忌	 己:Top    心:Bottom
忍	 刃:Top    心:Bottom
志	 士:Top    心:Bottom
忘	 亡:Top    心:Bottom
忙	 忄:Left    亡:Right
応	 广:TopLeftOutside    心:BottomRightInside
忠	 中:Top    心:Bottom
快	 忄:Left    夬:Right
念	 今:Top    心:Bottom
怒	 奴:Top    心:Bottom
怖	 忄:Left    布:Right
思	 田:Top    心:Bottom
怠	 台:Top    心:Bottom
急	 刍:Top    心:Bottom
性	 忄:Left    生:Right
怨	 夗:Top    心:Bottom
怪	 忄:Left    圣:Right
恋	 亦:Top    心:Bottom
恐	 巩:Top    心:Bottom
恒	 忄:Left    亘:Right
恣	 次:Top    心:Bottom
恥	 耳:Left    心:Right
恨	 忄:Left    艮:Right
恩	 因:Top    心:Bottom
恭	 共:Top    㣺:Bottom
息	 自:Top    心:Bottom
恵	 𤰔:Top    心:Bottom
悔	 忄:Left    毎:Right
悟	 忄:Left    吾:Right
悠	 攸:Top    心:Bottom
患	 串:Top    心:Bottom
悦	 忄:Left    兑:Right
悩	 忄:Left    𭕄:Top    凶:Bottom
悪	 亜:Top    心:Bottom
悲	 非:Top    心:Bottom
悼	 忄:Left    卓:Right
情	 忄:Left    青:Right
惑	 或:Top    心:Bottom
惜	 忄:Left    昔:Right
惧	 忄:Left    具:Right
惨	 忄:Left    参:Right
惰	 忄:Left    左:Top    月:Bottom
想	 相:Top    心:Bottom
愁	 秋:Top    心:Bottom
愉	 忄:Left    俞:Right
意	 音:Top    心:Bottom
愚	 禺:Top    心:Bottom
愛	 爫:ParallelTop    冖:ParallelCenter    𢖻:ParallelBottom
感	 咸:Top    心:Bottom
慄	 忄:Left    栗:Right
慈	 兹:Top    心:Bottom
態	 能:Top    心:Bottom
慌	 忄:Left    荒:Right
慎	 忄:Left    真:Right
慕	 莫:Top    㣺:Bottom
慢	 忄:Left    曼:Right
慣	 忄:Left    貫:Right
慨	 忄:Left    既:Right
慮	 虍:TopLeftOutside    思:BottomRightInside
慰	 尉:Top    心:Bottom
慶	 ⿸⿸广⿻コ⿰丨丨⿱乛𢖻
憂	 㥑:Top    夂:Bottom
憎	 忄:Left    曽:Right
憤	 忄:Left    賁:Right
憧	 忄:Left    童:Right
憩	 舌:Left    自:Right    心:Bottom
憬	 忄:Left    景:Right
憲	 𡩜:Top    心:Bottom
憶	 忄:Left    意:Right
憾	 忄:Left    感:Right
懇	 貇:Top    心:Bottom
